version,split,class_name,image_name,mse,psnr,ssim,used_blocks
v2_adaptive,train,glioma,Tr-gl_1108.jpg,0.0095367431640625,68.33680274147534,0.9998695704283959,3
v2_adaptive,train,glioma,Tr-gl_1109.jpg,0.0096588134765625,68.28156581474255,0.9998534937375705,1
v2_adaptive,train,glioma,Tr-gl_111.jpg,0.0175018310546875,65.69996873590343,0.9997106110828365,4
v2_adaptive,train,glioma,Tr-gl_1110.jpg,0.0362548828125,62.53713855182453,0.9990316813912297,9
v2_adaptive,train,glioma,Tr-gl_1111.jpg,0.0084228515625,68.87621213762411,0.9999082188597365,1
v2_adaptive,train,glioma,Tr-gl_1112.jpg,0.0040283203125,72.07956364621778,0.9999804397712974,2
v2_adaptive,train,glioma,Tr-gl_1113.jpg,0.0035858154296875,72.58492429219874,0.9999818475589679,4
v2_adaptive,train,glioma,Tr-gl_1114.jpg,0.0172882080078125,65.75330381628211,0.9997189717109362,3
v2_adaptive,train,glioma,Tr-gl_1115.jpg,0.014739990234375,66.44583165076116,0.9997874013158311,3
v2_adaptive,train,glioma,Tr-gl_1116.jpg,0.0032196044921875,73.05277836193918,0.9999823318862461,3
v2_adaptive,train,glioma,Tr-gl_1117.jpg,0.0052490234375,70.93001848920079,0.9999841803356085,0
v2_adaptive,train,glioma,Tr-gl_1118.jpg,0.0115203857421875,67.51613339862422,0.999860314565005,1
v2_adaptive,train,glioma,Tr-gl_1119.jpg,0.0084075927734375,68.88408692639825,0.9999026103205773,4
v2_adaptive,train,glioma,Tr-gl_112.jpg,0.014312744140625,66.57357453112544,0.9997774452765958,2
v2_adaptive,train,glioma,Tr-gl_1120.jpg,0.0128326416015625,67.04764295693697,0.9998012720323975,4
v2_adaptive,train,glioma,Tr-gl_1121.jpg,0.00689697265625,69.74421856680227,0.9998958491948116,4
v2_adaptive,train,glioma,Tr-gl_1122.jpg,0.0088348388671875,68.66881727764174,0.9999175575738236,3
v2_adaptive,train,glioma,Tr-gl_1123.jpg,0.01007080078125,68.1001635594974,0.9998656010285893,3
v2_adaptive,train,glioma,Tr-gl_1124.jpg,0.011962890625,67.35244228807171,0.9997861592500845,2
v2_adaptive,train,glioma,Tr-gl_1125.jpg,0.023712158203125,64.38109277026714,0.9995936380531215,8
v2_adaptive,train,glioma,Tr-gl_1126.jpg,0.0092926025390625,68.44942998858734,0.9998574537587419,4
